t,driver,x,y
72,RUS,5879,9211
72,SAI,7066,10235
72,STR,498,13199
72,TSU,3495,14340
72,VER,9164,11561
72,ZHO,-503,8243
74,ALB,10820,12472
74,ALO,10398,15805
74,BOT,-244,9055
74,COL,-402,9810
74,GAS,8665,15464
74,HAM,7230,10368
74,HUL,11033,13565
74,LEC,5801,9144
74,MAG,9029,15605
74,NOR,3377,7036
74,OCO,7293,15089
74,PER,8989,11460
74,PIA,4173,7728
74,RIC,9646,15813
74,RUS,5119,8550
74,SAI,6427,9687
74,STR,1787,14024
74,TSU,5102,14455
74,VER,8164,10994
74,ZHO,-181,8398
76,ALB,9934,11979
76,ALO,10905,15024
76,BOT,-400,9794
76,COL,-404,10956
76,GAS,9729,15838
76,HAM,6480,9734
76,HUL,10966,12644
76,LEC,4810,8282
76,MAG,10023,15882
76,NOR,2567,6172
76,OCO,8140,15290
76,PER,7790,10773
76,PIA,3175,6861
76,RIC,10522,15732
76,RUS,4347,7879
76,SAI,5672,9031
76,STR,3384,14331
76,TSU,6428,14512
76,VER,7210,10351
76,ZHO,-173,8787
78,ALB,8650,11268
78,ALO,11028,13621
78,BOT,-410,10866
78,COL,-13,12477
78,GAS,10569,15696
78,HAM,5647,9009
78,HUL,10065,12050
78,LEC,3974,7555
78,MAG,10755,15477
78,NOR,2401,5099
78,OCO,9443,15747
78,PER,6671,9900
78,PIA,2545,5898
78,RIC,10932,14816
78,RUS,3342,7006
78,SAI,4566,8070
78,STR,5264,14463
78,TSU,6989,14902
78,VER,6011,9326
78,ZHO,-370,9599
80,ALB,7661,10690
80,ALO,11023,12765
80,BOT,-259,11848
80,COL,780,13454
80,GAS,10883,15133
80,HAM,5018,8462
80,HUL,9150,11553
80,LEC,3421,7075
80,MAG,10934,14798
80,NOR,1952,4547
80,OCO,10370,15818
80,PER,5815,9156
80,PIA,2401,5098
80,RIC,11005,13866
80,RUS,2648,6351
80,SAI,3772,7379
80,STR,6360,14506
80,TSU,7459,15131
80,VER,5308,8715
80,ZHO,-426,10478
82,ALB,6588,9828
82,ALO,10323,12180
82,BOT,359,13045
82,COL,2207,14151
82,GAS,10987,14087
82,HAM,4271,7813
82,HUL,7946,10868
82,LEC,2732,6455
82,MAG,11016,13737
82,NOR,1733,3780
82,OCO,10909,14999
82,PER,4913,8371
82,PIA,1838,4315
82,RIC,11032,12793
82,RUS,2525,5453
82,SAI,2934,6648
82,STR,6902,14746
82,TSU,8378,15363
82,VER,4740,8221
82,ZHO,-285,11748
84,ALB,5537,8913
84,ALO,9262,11617
84,BOT,1572,13935
84,COL,3833,14368
84,GAS,11067,13070
84,HAM,3492,7136
84,HUL,6748,9967
84,LEC,2546,5729
84,MAG,11029,12783
84,NOR,1642,2809
84,OCO,11013,13769
84,PER,4428,7950
84,PIA,1710,3526
84,RIC,10461,12250
84,RUS,1946,4539
84,SAI,2546,5962
84,STR,7350,15106
84,TSU,9529,15776
84,VER,4333,7867
84,ZHO,337,13019
86,ALB,4614,8111
86,ALO,8016,10909
86,BOT,3130,14306
86,COL,5548,14474
86,GAS,10816,12471
86,HAM,2702,6422
86,HUL,5591,8961
86,LEC,2271,4903
86,MAG,10477,12258
86,NOR,1533,1627
86,OCO,11001,12709
86,PER,4048,7620
86,PIA,1635,2733
86,RIC,9599,11799
86,RUS,1692,3334
86,SAI,2458,5224
86,STR,8234,15318
86,TSU,10560,15705
86,VER,3821,7422
86,ZHO,1580,13938
88,ALB,4181,7735
88,ALO,6859,10064
88,BOT,4679,14433
88,COL,6550,14531
88,GAS,10173,12105
88,HAM,2540,5573
88,HUL,4914,8372
88,LEC,1764,4029
88,MAG,9611,11805
88,NOR,1417,362
88,OCO,10432,12235
88,PER,3611,7240
88,PIA,1549,1797
88,RIC,8583,11230
88,RUS,1589,2231
88,SAI,2064,4684
88,STR,9341,15713
88,TSU,10935,14786
88,VER,3175,6861
88,ZHO,3058,14297
90,ALB,3844,7442
90,ALO,5639,9002
90,BOT,5895,14487
90,COL,6959,14862
90,GAS,9189,11575
90,HAM,2083,4703
90,HUL,4457,7975
90,LEC,1634,2725
90,MAG,8491,11179
90,NOR,1292,-1000
90,OCO,9966,11996
90,PER,2922,6637
90,PIA,1440,618
90,RIC,7343,10460
90,RUS,1489,1142
90,SAI,1756,3974
90,STR,10403,15803
90,TSU,11039,13507
90,VER,2556,6113
90,ZHO,4702,14434
92,ALB,3514,7155
92,ALO,4577,8079
92,BOT,6571,14537
92,COL,7394,15116
92,GAS,8096,10955
92,HAM,1737,3820
92,HUL,4128,7689
92,LEC,1529,1577
92,MAG,7374,10485
92,NOR,1183,-2186
92,OCO,9253,11612
92,PER,2545,5901
92,PIA,1328,-607
92,RIC,6226,9512
92,RUS,1395,120
92,SAI,1656,2973
92,STR,10895,15079
92,TSU,10934,12594
92,VER,2479,5280
92,ZHO,5925,14488
94,ALB,2867,6587
94,ALO,3880,7474
94,BOT,6983,14895
94,COL,8171,15299
94,GAS,6899,10098
94,HAM,1646,2860
94,HUL,3760,7369
94,LEC,1431,514
94,MAG,6219,9506
94,NOR,1080,-3308
94,OCO,8222,11027
94,PER,2331,4982
94,PIA,1209,-1896
94,RIC,4997,8444
94,RUS,1292,-996
94,SAI,1541,1714
94,STR,11004,13874
94,TSU,10100,12068
94,VER,1883,4430
94,ZHO,6656,14561
96,ALB,2546,5782
96,ALO,3470,7117
96,BOT,7682,15172
96,COL,9323,15707
96,GAS,5619,8985
96,HAM,1559,1909
96,HUL,3108,6802
96,LEC,1312,-778
96,MAG,4992,8440
96,NOR,975,-4367
96,OCO,7022,10199
96,PER,1748,3927
96,PIA,1088,-3220
96,RIC,4026,7600
96,RUS,1188,-2125
96,SAI,1422,413
96,STR,11017,12748
96,TSU,8931,11427
96,VER,1683,3250
96,ZHO,6989,14902
98,ALB,2267,4897
98,ALO,3164,6851
98,BOT,8577,15431
98,COL,10244,15858
98,GAS,4558,8063
98,HAM,1487,1125
98,HUL,2575,6197
98,LEC,1214,-1849
98,MAG,4250,7795
98,NOR,860,-5045
98,OCO,6014,9329
98,PER,1638,2766
98,PIA,1031,-3827
98,RIC,3477,7123
98,RUS,1116,-2915
98,SAI,1322,-673
98,STR,10392,12214
98,TSU,7851,10811
98,VER,1595,2304
98,ZHO,7390,15115
100,ALB,1728,3730
100,ALO,2847,6568
100,BOT,9775,15849
100,COL,10829,15321
100,GAS,3721,7335
100,HAM,1428,486
100,HUL,2478,5277
100,LEC,1121,-2859
100,MAG,3355,7017
100,NOR,513,-5641
100,OCO,4771,8248
100,PER,1520,1479
100,PIA,938,-4653
100,RIC,3028,6732
100,RUS,1044,-3691
100,SAI,1196,-2045
100,STR,9280,11627
100,TSU,6743,9963
100,VER,1495,1215
100,ZHO,8232,15318
102,ALB,1588,2225
102,ALO,2560,6127
102,BOT,10715,15542
102,COL,10975,14276
102,GAS,3049,6751
102,HAM,1355,-311
102,HUL,1822,4270
102,LEC,1043,-3705
102,MAG,2873,6593
102,NOR,-157,-5780
102,OCO,3568,7202
102,PER,1418,372
102,PIA,570,-5594
102,RIC,2661,6368
102,RUS,964,-4460
102,SAI,1080,-3302
102,STR,7918,10851
102,TSU,6062,9370
102,VER,1398,155
102,ZHO,9439,15746
104,ALB,1469,925
104,ALO,2483,5291
104,BOT,10956,14547
104,COL,11067,13140
104,GAS,2749,6471
104,HAM,1284,-1079
104,HUL,1659,3001
104,LEC,967,-4433
104,MAG,2607,6276
104,NOR,-794,-5438
104,OCO,2951,6664
104,PER,1342,-452
104,PIA,-176,-5777
104,RIC,2547,5949
104,RUS,850,-5082
104,SAI,1021,-3930
104,STR,6740,9960
104,TSU,5436,8826
104,VER,1322,-675
104,ZHO,10365,15819
106,ALB,1360,-257
106,ALO,1896,4456
106,BOT,11044,13455
106,COL,10822,12475
106,GAS,2570,6170
106,HAM,1207,-1918
106,HUL,1543,1731
106,LEC,858,-5052
106,MAG,2547,5859
106,NOR,-1206,-4859
106,OCO,2654,6358
106,PER,1277,-1155
106,PIA,-846,-5387
106,RIC,2504,5363
106,RUS,492,-5657
106,SAI,963,-4464
106,STR,5653,9015
106,TSU,4844,8311
106,VER,1256,-1392
